time,count
12,36
33,336
53,510
73,710
93,960
113,1298
133,1665
154,1974
174,2297
194,2503
214,2670
235,2869
255,3116
275,3351
296,3568
316,3802
336,3971
356,4096
377,4204
397,4371
417,4615
437,4765
458,4886
478,5032
498,5186
519,5329
539,5472
559,5622
580,5773
600,5915
620,6062
640,6196
661,6312
681,6376
701,6428
722,6456
742,6501
762,6563
782,6637
803,6685
823,6752
843,6838
864,6918
884,6975
904,7078
925,7161
945,7203
965,7239
985,7274
1006,7302
1026,7315
1046,7342
1067,7374
1087,7418
1107,7491
1128,7542
1148,7587
1168,7620
1189,7642
1209,7669
1229,7701
1250,7737
1270,7811
1290,7852
1310,7877
1331,7936
1351,7995
1372,8055
1392,8117
1412,8190
1432,8223
1453,8250
1473,8285
1493,8313
1514,8354
1534,8388
1554,8461
1575,8511
1595,8585
1615,8694
1636,8744
1656,8799
1676,8860
1697,8902
1717,8940
1737,8954
1758,8968
1778,8982
1798,9002
1819,9032
1839,9039
1859,9058
1879,9067
1900,9073
1920,9089
1940,9126
1961,9150
1981,9171
2001,9182
2021,9187
2042,9199
2062,9204
2082,9208
2103,9217
2123,9223
2143,9240
2164,9253
2184,9260
2204,9274
2224,9283
2245,9285
2265,9289
2285,9307
2305,9317
2326,9330
2346,9336
2366,9351
2387,9360
2407,9384
2427,9391
2447,9391
2468,9401
2488,9409
2508,9411
2529,9413
2549,9413
2569,9419
2590,9420
2610,9422
2631,9424
2651,9431
2671,9434
2692,9444
2712,9445
2732,9445
2753,9446
2773,9452
2793,9475
2814,9479
2834,9484
2854,9485
2874,9486
2895,9487
2915,9492
2935,9492
2956,9493
2976,9495
2996,9502
3017,9505
